chrom,chromStart,chromEnd,strand,GM12878,lifted
chr1,53459559,53459815,+,0,False
chr1,56854624,56854880,+,0,False
chr1,56966133,56966389,-,0,False
chr1,58783891,58784147,-,0,False
chr1,59515413,59515669,+,0,False
chr1,62436485,62436741,+,0,False
chr1,63592978,63593234,+,0,False
chr1,64203388,64203644,+,0,False
chr1,66533404,66533660,+,0,False
chr1,66533703,66533959,+,0,False
chr1,66533839,66534095,+,0,False
chr1,66533936,66534192,+,0,False
chr1,67307654,67307910,+,0,False
chr1,71047726,71047982,-,0,False
chr1,71047758,71048014,-,0,False
chr1,75744781,75745037,-,0,False
chr1,75791150,75791406,+,0,False
chr1,76995190,76995446,+,0,False
chr1,78004579,78004835,+,0,False
chr1,84164719,84164975,+,0,False
chr1,85319877,85320133,-,0,False
chr1,85578279,85578535,-,0,False
chr1,85581833,85582089,+,0,False
chr1,87328268,87328524,+,0,False
chr1,89712700,89712956,+,0,False
chr1,93179732,93179988,+,0,False
chr1,94237531,94237787,-,0,False
chr1,94541533,94541789,-,0,False
chr1,94541590,94541846,-,0,False
chr1,94541636,94541892,-,0,False
chr1,94541692,94541948,-,0,False
chr1,94541730,94541986,-,0,False
chr1,94927012,94927268,+,0,False
chr1,107139773,107140029,+,0,False
chr1,107140896,107141152,+,0,False
chr1,108699215,108699471,+,0,False
chr1,109548413,109548669,+,0,False
chr1,110004007,110004263,+,0,False
chr1,110407158,110407414,+,0,False
chr1,111140023,111140279,+,0,False
chr1,111199898,111200154,-,0,False
chr1,111204425,111204681,-,0,False
chr1,112706919,112707175,-,0,False
chr1,116667793,116668049,-,0,False
chr1,117001484,117001740,+,0,False
chr1,119368545,119368801,+,0,False
chr1,119712272,119712528,+,0,False
chr1,120665310,120665566,-,0,False
chr1,120723698,120723954,+,0,False
chr1,120942338,120942594,+,0,False
chr1,121087116,121087372,+,0,False
chr1,121117284,121117540,-,0,False
chr1,121184738,121184994,+,0,False
chr1,121518995,121519251,+,0,False
chr1,144412328,144412584,+,1,False
chr1,144551928,144552184,-,0,False
chr1,144715841,144716097,+,0,False
chr1,145095733,145095989,+,0,False
chr1,145095800,145096056,+,1,False
chr1,145607740,145607996,+,0,False
chr1,145823845,145824101,+,0,False
chr1,146486452,146486708,+,0,False
chr1,146938080,146938336,+,0,False
chr1,147908039,147908295,+,0,False
chr1,148152084,148152340,-,0,False
chr1,148152272,148152528,-,0,False
chr1,148162504,148162760,+,0,False
chr1,148279037,148279293,+,0,False
chr1,148297281,148297537,-,0,False
chr1,148362526,148362782,-,0,False
chr1,148385960,148386216,-,0,False
chr1,148402453,148402709,+,0,False
chr1,148679734,148679990,-,0,False
chr1,149103541,149103797,-,0,False
chr1,149162943,149163199,-,0,False
chr1,149390335,149390591,+,0,False
chr1,149390372,149390628,+,0,False
chr1,149390439,149390695,+,0,False
chr1,149606030,149606286,+,0,False
chr1,149813687,149813943,-,0,False
chr1,149842739,149842995,+,0,False
chr1,149887067,149887323,+,0,False
chr1,150150046,150150302,+,0,False
chr1,150257773,150258029,+,0,False
chr1,150549123,150549379,+,0,False
chr1,150549192,150549448,+,0,False
chr1,150578572,150578828,-,0,False
chr1,150876630,150876886,-,0,False
chr1,151281352,151281608,+,0,False
chr1,151459419,151459675,-,0,False
chr1,153002847,153003103,+,0,False
chr1,153003136,153003392,+,0,False
chr1,153141455,153141711,-,0,False
chr1,153204541,153204797,+,0,False
chr1,153545504,153545760,+,0,False
chr1,153627367,153627623,-,0,False
chr1,153680116,153680372,+,0,False
chr1,153776422,153776678,+,0,False
chr1,153777925,153778181,+,0,False
chr1,155135558,155135814,+,0,False
chr1,155236512,155236768,-,0,False
chr1,155255495,155255751,-,0,False
chr1,155309424,155309680,+,0,False
chr1,156020961,156021217,-,0,False
chr1,156248003,156248259,-,0,False
chr1,156579467,156579723,+,0,False
chr1,156619339,156619595,+,0,False
chr1,156751808,156752064,-,1,False
chr1,157552460,157552716,-,0,False
chr1,157552531,157552787,-,0,False
chr1,158290431,158290687,+,0,False
chr1,158331427,158331683,-,0,False
chr1,158352957,158353213,+,0,False
chr1,158353152,158353408,+,0,False
chr1,158354642,158354898,+,0,False
chr1,158355267,158355523,+,0,False
chr1,158355396,158355652,+,0,False
chr1,159923681,159923937,-,0,False
chr1,160647247,160647503,-,0,False
chr1,160647287,160647543,-,0,False
chr1,160950882,160951138,-,0,False
chr1,161222982,161223238,-,0,False
chr1,161223414,161223670,-,0,False
chr1,161706741,161706997,+,0,False
chr1,162023583,162023839,-,0,False
chr1,162412151,162412407,-,0,False
chr1,162630909,162631165,+,0,False
chr1,162799136,162799392,+,0,False
chr1,166747108,166747364,+,0,False
chr1,166988861,166989117,+,0,False
chr1,166988927,166989183,+,0,False
chr1,168178639,168178895,+,0,False
chr1,168576156,168576412,+,0,False
chr1,168729248,168729504,-,0,False
chr1,170074752,170075008,-,0,False
chr1,171652717,171652973,-,0,False
chr1,172144647,172144903,-,0,False
chr1,174700768,174701024,+,0,False
chr1,177165176,177165432,-,0,False
chr1,180558744,180559000,+,0,False
chr1,183279091,183279347,-,0,False
chr1,185045343,185045599,+,0,False
chr1,193059910,193060166,+,0,False
chr1,196608464,196608720,-,0,False
chr1,196743276,196743532,+,0,False
chr1,201399448,201399704,-,0,False
chr1,201399663,201399919,-,0,False
chr1,201469034,201469290,-,0,False
chr1,201739020,201739276,+,0,False
chr1,202810717,202810973,+,0,False
chr1,202967215,202967471,-,0,False
chr1,203179187,203179443,-,0,False
chr1,203186621,203186877,-,0,False
chr1,203186649,203186905,-,0,False
chr1,203186777,203187033,-,0,False
chr1,203482941,203483197,+,0,False
chr1,204544336,204544592,+,0,False
chr1,204544378,204544634,+,0,False
chr1,205229493,205229749,+,0,False
chr1,205568714,205568970,+,0,False
chr1,205750227,205750483,-,0,False
chr1,205775182,205775438,-,0,False
chr1,205801494,205801750,-,0,False
chr1,205994447,205994703,-,0,False
chr1,206003333,206003589,-,0,False
chr1,206003348,206003604,-,0,False
chr1,206003385,206003641,-,0,False
chr1,206003408,206003664,-,0,False
chr1,206003442,206003698,-,0,False
chr1,206003541,206003797,-,0,False
chr1,206923242,206923498,-,0,False
chr1,207320984,207321240,+,0,False
chr1,207324060,207324316,+,0,False
chr1,207326564,207326820,+,0,False
chr1,207495946,207496202,+,0,False
chr1,207644840,207645096,+,0,False
chr1,207752140,207752396,+,0,False
chr1,207911304,207911560,-,0,False
chr1,208244509,208244765,-,0,False
chr1,209428854,209429110,+,0,False
chr1,210329117,210329373,+,0,False
chr1,210329177,210329433,+,0,False
chr1,211830455,211830711,-,0,False
chr1,211830684,211830940,-,0,False
chr1,212285022,212285278,+,0,False
chr1,213987672,213987928,+,0,False
chr1,214280849,214281105,+,0,False
chr1,221736893,221737149,-,0,False
chr1,223757019,223757275,+,0,False
chr1,224182615,224182871,+,0,False
chr1,224565070,224565326,+,0,False
chr1,226408010,226408266,-,0,False
chr1,228082949,228083205,+,0,False
chr1,228149727,228149983,+,0,False
chr1,228341067,228341323,+,0,False
chr1,228735170,228735426,+,0,False
chr1,235069614,235069870,-,0,False
chr1,235069685,235069941,-,0,False
chr1,235069787,235070043,-,0,False
chr1,235327078,235327334,+,0,False
chr1,236718733,236718989,+,0,False
chr1,240007273,240007529,+,0,False
chr1,240803323,240803579,-,0,False
chr1,243270449,243270705,+,0,False
chr1,244461124,244461380,+,0,False
chr1,244969684,244969940,+,0,False
chr1,246355531,246355787,-,0,False
chr1,246647420,246647676,+,0,False
chr1,247416297,247416553,+,0,False
chr1,247548639,247548895,+,0,False
chr1,247548694,247548950,+,0,False
chr1,248748327,248748583,-,0,False
chr1,248748371,248748627,-,0,False
chr1,248748427,248748683,-,0,False
chr1,248748462,248748718,-,0,False
chr1,248755754,248756010,-,0,False
chr2,249785,250041,-,0,False
chr2,1496204,1496460,+,0,False
chr2,1791867,1792123,-,0,False
chr2,3657969,3658225,+,0,False
chr2,3703321,3703577,+,0,False
chr2,8681828,8682084,+,0,False
chr2,10368540,10368796,+,0,False
chr2,11398801,11399057,+,0,False
chr2,11482058,11482314,+,0,False
chr2,11560941,11561197,+,0,False
chr2,13006938,13007194,-,0,False
chr2,15591280,15591536,+,0,False
chr2,15942430,15942686,-,0,False
chr2,17540542,17540798,+,0,False
chr2,20448664,20448920,+,0,False
chr2,24123295,24123551,+,0,False
chr2,24490777,24491033,+,0,False
chr2,24491512,24491768,+,0,False
chr2,25161271,25161527,-,0,False
chr2,25161315,25161571,-,0,False
chr2,25822097,25822353,+,0,False
chr2,26034279,26034535,+,0,False
chr2,27275209,27275465,+,0,False
chr2,27323006,27323262,-,0,False
chr2,27370276,27370532,-,0,False
chr2,27370407,27370663,-,0,False
chr2,27428431,27428687,+,0,False
chr2,27439778,27440034,+,0,False
chr2,27495065,27495321,-,0,False
chr2,27890322,27890578,-,0,False
chr2,28393437,28393693,+,0,False
chr2,28782238,28782494,+,0,False
chr2,28782249,28782505,+,0,False
chr2,29175028,29175284,+,0,False
chr2,29920843,29921099,-,0,False
chr2,29921145,29921401,-,0,False
chr2,30146995,30147251,+,0,False
chr2,30147074,30147330,+,0,False
chr2,32010918,32011174,-,0,False
chr2,32356747,32357003,+,0,False
chr2,34677239,34677495,+,0,False
chr2,34677413,34677669,+,0,False
chr2,36550116,36550372,+,0,False
chr2,36561643,36561899,-,0,False
chr2,36696533,36696789,+,0,False
chr2,37084182,37084438,+,0,False
chr2,37231766,37232022,-,0,False
chr2,38960312,38960568,+,0,False
chr2,41876521,41876777,+,0,False
chr2,44941651,44941907,+,0,False
chr2,45650937,45651193,+,0,False
chr2,45651616,45651872,+,0,False
chr2,46541546,46541802,+,0,False
chr2,46542509,46542765,+,0,False
chr2,46855592,46855848,+,0,False
chr2,47074010,47074266,+,0,False
chr2,47695707,47695963,+,0,False
chr2,48440493,48440749,+,0,False
chr2,60554132,60554388,-,0,False
chr2,60925462,60925718,+,0,False
chr2,61161934,61162190,+,0,False
chr2,61161951,61162207,+,0,False
chr2,62706067,62706323,+,0,False
chr2,63588690,63588946,+,1,False
chr2,64144355,64144611,-,0,False
chr2,68734610,68734866,+,0,False
chr2,68871362,68871618,-,0,False
chr2,69438013,69438269,-,0,False
chr2,73369692,73369948,+,0,False
chr2,73737374,73737630,-,0,False
chr2,74374485,74374741,-,0,False
chr2,74374610,74374866,-,0,False
chr2,74421932,74422188,+,0,False
chr2,79120116,79120372,+,0,False
chr2,79120172,79120428,+,0,False
chr2,79120294,79120550,+,0,False
chr2,79120343,79120599,+,0,False
chr2,85027141,85027397,+,0,False
chr2,85663808,85664064,-,0,False
chr2,85666358,85666614,-,0,False
chr2,85666718,85666974,-,0,False
chr2,86720086,86720342,+,0,False
chr2,88055705,88055961,-,0,False
chr2,88067534,88067790,+,0,False
chr2,88861564,88861820,-,0,False
chr2,88966773,88967029,-,0,False
chr2,89027700,89027956,-,0,False
chr2,89862202,89862458,+,0,False
chr2,89906471,89906727,+,0,False
chr2,89928143,89928399,+,0,False
chr2,89929415,89929671,+,0,False
chr2,90004545,90004801,+,0,False
chr2,90021348,90021604,+,0,False
chr2,90234568,90234824,+,0,False
chr2,94208334,94208590,-,0,False
chr2,94208360,94208616,-,0,False
chr2,94208871,94209127,-,0,False
chr2,95274164,95274420,+,0,False
chr2,96950093,96950349,-,0,False
chr2,97112876,97113132,+,0,False
chr2,97113274,97113530,+,0,False
chr2,97113332,97113588,+,0,False
chr2,97590251,97590507,-,0,False
chr2,99360919,99361175,+,0,False
chr2,99361112,99361368,+,0,False
chr2,99361154,99361410,+,1,False
chr2,99376210,99376466,+,0,False
chr2,100820060,100820316,+,0,False
chr2,101001692,101001948,+,0,False
chr2,101983453,101983709,+,0,False
chr2,102422866,102423122,+,0,False
chr2,106486880,106487136,+,0,False
chr2,107529237,107529493,+,0,False
chr2,108288555,108288811,+,0,False
chr2,109794038,109794294,+,0,False
chr2,110804955,110805211,+,0,False
chr2,111898275,111898531,+,0,False
chr2,111898326,111898582,+,0,False
chr2,111898391,111898647,+,0,False
chr2,112482031,112482287,+,0,False
chr2,112764664,112764920,-,0,False
chr2,112832656,112832912,-,0,False
chr2,120252529,120252785,+,0,False
chr2,120253267,120253523,+,0,False
chr2,127107003,127107259,-,0,False
chr2,127640183,127640439,-,0,False
chr2,127645760,127646016,+,0,False
chr2,130371820,130372076,+,0,False
chr2,130520984,130521240,+,0,False
chr2,130520998,130521254,+,0,False
chr2,131475889,131476145,+,0,False
chr2,131527687,131527943,+,0,False
chr2,134838402,134838658,+,0,False
chr2,143129180,143129436,+,0,False
chr2,148020675,148020931,-,0,False
chr2,149587042,149587298,+,0,False
chr2,157325508,157325764,-,0,False
chr2,157325660,157325916,-,0,False
chr2,157325907,157326163,-,0,False
chr2,157327651,157327907,-,0,False
chr2,158457941,158458197,+,0,False
chr2,159615410,159615666,+,0,False
chr2,159711961,159712217,+,0,False
chr2,165933530,165933786,+,0,False
chr2,167248232,167248488,+,0,False
chr2,169509430,169509686,+,0,False
chr2,169824823,169825079,-,0,False
chr2,170751565,170751821,+,0,False
chr2,170770104,170770360,+,0,False
chr2,170816604,170816860,+,0,False
chr2,170816710,170816966,+,0,False
chr2,171160499,171160755,-,0,False
chr2,171522012,171522268,+,0,False
chr2,174847015,174847271,-,0,False
chr2,174847516,174847772,-,0,False
chr2,176129306,176129562,+,0,False
chr2,177618648,177618904,-,0,False
chr2,180980251,180980507,+,0,False
chr2,182866874,182867130,-,0,False
chr2,188991253,188991509,+,0,False
chr2,188991441,188991697,+,0,False
chr2,189783889,189784145,+,0,False
chr2,190407975,190408231,+,0,False
chr2,191014115,191014371,-,0,False
chr2,197310722,197310978,-,0,False
chr2,200306572,200306828,+,0,False
chr2,202238532,202238788,-,0,False
chr2,202375918,202376174,+,0,False
chr2,203180702,203180958,+,0,False
chr2,203431830,203432086,+,0,False
chr2,204545566,204545822,+,0,False
chr2,206159676,206159932,+,1,False
chr2,206159685,206159941,+,0,False
chr2,206274743,206274999,+,0,False
chr2,207165968,207166224,-,0,False
chr2,207681236,207681492,+,0,False
chr2,208112538,208112794,-,0,False
chr2,208124588,208124844,-,0,False
chr2,210314989,210315245,-,0,False
chr2,210315032,210315288,-,0,False
chr2,212429314,212429570,-,0,False
chr2,216116466,216116722,+,0,False
chr2,216415520,216415776,+,0,False
chr2,216695112,216695368,-,0,False
chr2,218568266,218568522,-,0,False
chr2,219514394,219514650,+,0,False
chr2,219571921,219572177,+,0,False
chr2,223984818,223985074,-,0,False
chr2,226799608,226799864,-,0,False
chr2,230203383,230203639,+,0,False
chr2,230864512,230864768,+,0,False
chr2,231461576,231461832,-,0,False
chr2,231461650,231461906,-,1,False
chr2,231461682,231461938,-,1,False
chr2,231461857,231462113,-,1,False
chr2,231461952,231462208,-,1,False
chr2,231462020,231462276,-,1,False
chr2,231710188,231710444,+,0,False
chr2,233139387,233139643,+,0,False
chr2,233139440,233139696,+,0,False
chr2,233139472,233139728,+,0,False
chr2,233139510,233139766,+,0,False
chr2,233307693,233307949,+,0,False
chr2,233319312,233319568,+,0,False
chr2,235669354,235669610,+,0,False
chr2,236580197,236580453,+,0,False
chr2,237590547,237590803,-,0,False
chr2,238138393,238138649,+,0,False
chr2,241188279,241188535,+,0,False
chr2,241508630,241508886,-,0,False
chr2,241558812,241559068,+,0,False
chr2,241701759,241702015,+,0,False
chr3,197011,197267,+,0,False
chr3,1092800,1093056,+,0,False
chr3,4814392,4814648,+,0,False
chr3,5187261,5187517,+,0,False
chr3,9878507,9878763,-,0,False
chr3,11136961,11137217,+,0,False
chr3,11643612,11643868,-,0,False
chr3,11643858,11644114,-,0,False
chr3,12148241,12148497,+,0,False
chr3,12287484,12287740,+,0,False
chr3,12351326,12351582,+,0,False
chr3,12484303,12484559,+,0,False
chr3,12663853,12664109,-,0,False
chr3,12759211,12759467,-,0,False
chr3,12759305,12759561,-,0,False
chr3,16175213,16175469,+,0,False
chr3,16216530,16216786,+,0,False
chr3,16264692,16264948,-,0,False
chr3,18425270,18425526,-,0,False
chr3,18438711,18438967,-,0,False
chr3,19947173,19947429,+,0,False
chr3,23806560,23806816,+,0,False
chr3,25428056,25428312,+,0,False
chr3,25789819,25790075,+,0,False
chr3,28348928,28349184,+,0,False
chr3,33798087,33798343,+,0,False
chr3,34159111,34159367,+,0,False
chr3,35639864,35640120,+,0,False
chr3,38453767,38454023,+,0,False
chr3,39153632,39153888,-,0,False
chr3,39406694,39406950,+,0,False
chr3,40099752,40100008,+,0,False
chr3,40386991,40387247,+,0,False
chr3,42264887,42265143,-,0,False
chr3,42804553,42804809,-,0,False
chr3,44648533,44648789,+,0,False
chr3,45029902,45030158,+,0,False
chr3,45886326,45886582,+,0,False
chr3,46423588,46423844,-,0,False
chr3,46566261,46566517,-,0,False
chr3,46577560,46577816,+,0,False
chr3,47802663,47802919,+,0,False
chr3,49468895,49469151,+,0,False
chr3,49554280,49554536,+,0,False
chr3,50184837,50185093,+,0,False
chr3,50205038,50205294,+,0,False
chr3,50235907,50236163,+,0,False
chr3,50269014,50269270,+,0,False
chr3,50345742,50345998,-,0,False
chr3,51391616,51391872,+,0,False
chr3,52245248,52245504,+,0,False
chr3,52834831,52835087,-,0,False
chr3,52834875,52835131,-,0,False
chr3,52834901,52835157,-,0,False
chr3,54122378,54122634,+,0,False
chr3,54927993,54928249,-,0,False
chr3,54928130,54928386,-,0,False
chr3,56977354,56977610,-,0,False
chr3,57079210,57079466,-,0,False
chr3,58008202,58008458,+,0,False
chr3,58008233,58008489,+,0,False
chr3,58008259,58008515,+,0,False
chr3,58008297,58008553,+,0,False
chr3,58008367,58008623,+,0,False
chr3,66998032,66998288,+,0,False
chr3,73808333,73808589,+,0,False
chr3,76310405,76310661,+,0,False
chr3,86481687,86481943,+,0,False
chr3,93974068,93974324,-,0,False
chr3,97439358,97439614,+,0,False
chr3,97764565,97764821,+,0,False
chr3,98798937,98799193,-,0,False
chr3,100401575,100401831,-,0,False
chr3,100492557,100492813,+,0,False
chr3,100609435,100609691,+,0,False
chr3,101827884,101828140,+,0,False
chr3,107645645,107645901,+,0,False
chr3,108222532,108222788,-,0,False
chr3,112561546,112561802,-,0,False
chr3,113211564,113211820,+,0,False
chr3,114930163,114930419,+,0,False
chr3,117690950,117691206,-,0,False
chr3,122681032,122681288,+,0,False
chr3,125013676,125013932,-,0,False
chr3,125968902,125969158,+,0,False
chr3,125968934,125969190,+,0,False
chr3,125968975,125969231,+,0,False
chr3,125968981,125969237,+,0,False
chr3,125969023,125969279,+,0,False
chr3,126197932,126198188,-,0,False
chr3,126956917,126957173,+,0,False
chr3,128879111,128879367,+,0,False
chr3,129060508,129060764,+,0,False
chr3,130111464,130111720,-,0,False
chr3,133588576,133588832,+,0,False
chr3,133588602,133588858,+,0,False
chr3,134615116,134615372,+,0,False
chr3,136957587,136957843,+,0,False
chr3,136957619,136957875,+,0,False
chr3,138348303,138348559,+,0,False
chr3,138608609,138608865,+,0,False
chr3,141066025,141066281,+,0,False
chr3,141368231,141368487,+,0,False
chr3,142448054,142448310,-,0,False
chr3,142963727,142963983,+,0,False
chr3,146161610,146161866,-,0,False
chr3,147393457,147393713,+,0,False
chr3,147409175,147409431,+,0,False
chr3,147409341,147409597,+,0,False
chr3,148827514,148827770,+,0,False
chr3,148827575,148827831,+,0,False
chr3,148991343,148991599,+,0,False
chr3,148991369,148991625,+,0,False
chr3,149474422,149474678,+,0,False
chr3,150546179,150546435,-,0,False
chr3,150546270,150546526,-,0,False
chr3,150546304,150546560,-,0,False
chr3,150763051,150763307,-,0,False
chr3,151086382,151086638,+,0,False
chr3,151316462,151316718,+,0,False
chr3,151340714,151340970,-,0,False
chr3,154121559,154121815,+,0,False
chr3,157503363,157503619,-,0,False
chr3,160100436,160100692,+,0,False
chr3,160225171,160225427,+,0,False
chr3,161221109,161221365,+,0,False
chr3,165196689,165196945,-,0,False
chr3,170181603,170181859,-,0,False
chr3,170432859,170433115,+,0,False
chr3,171771289,171771545,-,0,False
chr3,171810421,171810677,-,0,False
chr3,172754327,172754583,+,0,False
chr3,173141169,173141425,-,0,False
chr3,181699167,181699423,+,0,False
chr3,181712073,181712329,+,0,False
chr3,183162802,183163058,-,0,False
chr3,183635866,183636122,+,0,False
chr3,184180260,184180516,+,0,False
chr3,184314461,184314717,+,0,False
chr3,185328615,185328871,+,0,False
chr3,187021713,187021969,+,0,False
chr3,189121081,189121337,+,0,False
chr3,195579509,195579765,-,0,False
chr3,196142390,196142646,+,0,False
chr3,196142425,196142681,+,0,False
chr3,196432471,196432727,-,0,False
chr3,197002900,197003156,+,0,False
chr3,197749560,197749816,+,0,False
chr3,197749570,197749826,+,0,False
chr4,124216,124472,+,0,False
chr4,826213,826469,-,0,False
chr4,2060066,2060322,+,0,False
chr4,2867806,2868062,+,0,False
chr4,2893745,2894001,+,0,False
chr4,3413023,3413279,+,0,False
chr4,5888394,5888650,-,0,False
chr4,8319927,8320183,+,0,False
chr4,16225980,16226236,-,0,False
chr4,17061627,17061883,+,0,False
chr4,22443167,22443423,-,0,False
chr4,26320628,26320884,+,0,False
chr4,26320825,26321081,+,0,False
chr4,26320995,26321251,+,0,False
chr4,36244385,36244641,-,0,False
chr4,36256221,36256477,+,0,False
chr4,39044728,39044984,+,0,False
chr4,39182403,39182659,+,0,False
chr4,40316263,40316519,+,0,False
chr4,41955095,41955351,+,0,False
chr4,42152333,42152589,-,0,False
chr4,47463628,47463884,-,0,False
chr4,56246184,56246440,+,0,False
chr4,56910811,56911067,+,0,False
chr4,68568462,68568718,-,0,False
chr4,69051019,69051275,+,0,False
chr4,69280222,69280478,+,0,False
chr4,69755329,69755585,-,0,False
chr4,69995688,69995944,+,0,False
chr4,70480608,70480864,+,0,False
chr4,70480620,70480876,+,0,False
chr4,70480627,70480883,+,0,False
chr4,70480676,70480932,+,0,False
chr4,70480751,70481007,+,0,False
chr4,70480781,70481037,+,0,False
chr4,70480851,70481107,+,0,False
chr4,70480973,70481229,+,0,False
chr4,70481072,70481328,+,0,False
chr4,70666658,70666914,-,0,False
chr4,73417387,73417643,+,0,False
chr4,73435898,73436154,+,0,False
chr4,73436001,73436257,+,0,False
chr4,73868846,73869102,+,0,False
chr4,74444893,74445149,+,0,False
chr4,74444983,74445239,+,0,False
chr4,74445003,74445259,+,0,False
chr4,74445074,74445330,+,0,False
chr4,74445107,74445363,+,0,False
chr4,74448838,74449094,+,0,False
chr4,74451784,74452040,+,0,False
chr4,74932817,74933073,+,0,False
chr4,76234495,76234751,-,0,False
chr4,77075589,77075845,-,0,False
chr4,77075615,77075871,-,0,False
chr4,77075627,77075883,-,0,False
chr4,77075765,77076021,-,0,False
chr4,77075824,77076080,-,0,False
chr4,77075840,77076096,-,0,False
chr4,79408252,79408508,-,0,False
chr4,82373477,82373733,-,1,False
chr4,82900554,82900810,+,0,False
chr4,83455786,83456042,-,0,False
chr4,83455905,83456161,+,0,False
chr4,87007557,87007813,+,0,False
chr4,87322941,87323197,-,0,False
chr4,87975681,87975937,+,0,False
chr4,88284716,88284972,+,0,False
chr4,89837038,89837294,-,0,False
chr4,89837098,89837354,-,0,False
chr4,94207572,94207828,-,0,False
chr4,98995416,98995672,+,0,False
chr4,99321440,99321696,-,0,False
chr4,99574634,99574890,+,0,False
chr4,101347047,101347303,-,0,False
chr4,101347130,101347386,-,0,False
chr4,101347221,101347477,-,0,False
chr4,101347366,101347622,-,0,False
chr4,101829758,101830014,+,0,False
chr4,102501827,102502083,+,0,False
chr4,105146690,105146946,+,0,False
chr4,107931351,107931607,+,0,False
chr4,108168436,108168692,-,0,False
chr4,109815418,109815674,+,0,False
chr4,110475922,110476178,+,0,False
chr4,112648734,112648990,-,0,False
chr4,112705485,112705741,+,0,False
chr4,113049206,113049462,+,0,False
chr4,113293215,113293471,+,0,False
chr4,113761939,113762195,-,0,False
chr4,118591496,118591752,+,0,False
chr4,119025941,119026197,+,0,False
chr4,119454600,119454856,-,0,False
chr4,122338997,122339253,+,0,False
chr4,127965125,127965381,+,0,False
chr4,133149058,133149314,+,0,False
chr4,137532377,137532633,-,0,False
chr4,138241826,138242082,-,0,False
chr4,138242146,138242402,-,0,False
chr4,138242177,138242433,-,0,False
chr4,138242193,138242449,-,0,False
chr4,138242448,138242704,-,0,False
chr4,138242526,138242782,-,0,False
chr4,144140663,144140919,-,0,False
chr4,144140683,144140939,-,0,False
chr4,144140725,144140981,-,0,False
