chromosome,start,end,strand,A549,CACO2,GM12878,H1,H9,HEK293,HELAS3,HEPG2,HL60,JURKAT,K562,MCF7,PC3
chr1,3420669,3421169,.,0,0,0,0,1,0,1,0,0,0,0,0,1
chr1,3459827,3460327,.,0,0,0,0,0,0,1,0,0,0,0,0,0
chr1,3463894,3464394,.,0,0,0,0,0,0,1,0,0,0,0,0,1
chr1,3514043,3514543,.,0,0,0,1,0,0,0,0,1,0,0,0,0
chr1,3521163,3521663,.,1,0,0,0,0,0,0,0,1,1,0,0,0
chr1,3573221,3573721,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,3581349,3581849,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,3582000,3582500,.,0,0,1,0,0,1,0,0,0,0,0,0,0
chr1,3590122,3590622,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,3593997,3594497,.,0,0,1,1,0,0,0,0,1,0,0,0,0
chr1,3609109,3609609,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,3619929,3620429,.,0,0,0,0,0,0,0,0,0,1,1,0,0
chr1,3634536,3635036,.,0,0,1,0,1,0,0,0,1,0,0,0,0
chr1,3727862,3728362,.,0,0,0,1,0,0,1,0,0,0,0,0,0
chr1,3817718,3818218,.,0,0,1,1,1,1,1,1,1,1,1,0,1
chr1,4004854,4005354,.,0,0,0,0,0,1,0,0,0,0,0,0,0
chr1,4067864,4068364,.,0,0,0,0,0,0,0,0,0,1,0,0,0
chr1,4327397,4327897,.,0,0,1,0,0,0,0,1,0,0,0,0,0
chr1,4342169,4342669,.,0,0,0,1,0,0,0,0,0,0,0,0,0
chr1,4394279,4394779,.,0,0,0,0,0,0,0,0,0,0,1,0,0
chr1,4729405,4729905,.,0,0,0,1,0,0,0,0,0,0,0,0,0
chr1,4736151,4736651,.,0,0,0,1,1,0,0,0,0,0,0,0,0
chr1,5172595,5173095,.,0,0,0,0,1,0,0,0,0,0,1,0,0
chr1,5957097,5957597,.,0,0,0,1,1,0,0,1,0,0,0,0,0
chr1,6034550,6035050,.,0,0,0,0,0,0,0,0,0,0,0,0,1
chr1,6040429,6040929,.,0,0,0,1,1,0,1,0,0,0,0,0,0
chr1,6053588,6054088,.,0,1,1,1,1,0,1,0,0,1,1,0,1
chr1,6054697,6055197,.,0,0,1,0,0,0,1,0,0,0,0,0,0
chr1,6088077,6088577,.,0,0,1,0,0,0,0,0,1,1,0,0,0
chr1,6221377,6221877,.,0,0,0,0,0,0,1,0,0,0,0,0,0
chr1,6230806,6231306,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,6301967,6302467,.,0,0,0,1,1,0,0,0,0,0,0,0,0
chr1,6319918,6320418,.,0,0,1,1,1,0,1,0,0,1,0,1,0
chr1,6321645,6322145,.,0,0,0,0,1,0,0,0,0,0,1,0,0
chr1,6337704,6338204,.,0,0,0,0,0,0,1,0,0,0,0,0,0
chr1,6341816,6342316,.,0,0,0,0,0,0,0,1,0,1,0,0,1
chr1,6350156,6350656,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,6350873,6351373,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,6354003,6354503,.,0,0,1,0,0,0,1,0,0,0,0,0,0
chr1,6360256,6360756,.,0,0,0,0,0,0,0,0,0,0,0,0,1
chr1,6373470,6373970,.,0,0,0,0,0,0,0,0,0,1,0,0,0
chr1,6451544,6452044,.,0,0,0,0,0,0,1,0,0,0,1,0,1
chr1,6566234,6566734,.,0,0,0,0,1,0,0,0,0,0,0,0,0
chr1,6661060,6661560,.,0,0,1,1,1,0,1,1,0,0,1,0,1
chr1,6708904,6709404,.,0,0,1,0,0,0,1,1,1,1,0,0,0
chr1,6760650,6761150,.,0,0,0,0,1,0,0,1,0,0,1,0,0
chr1,6894452,6894952,.,0,0,1,1,0,0,1,0,0,0,1,0,1
chr1,6943562,6944062,.,0,0,1,0,1,0,1,1,1,1,1,0,0
chr1,7177543,7178043,.,0,0,0,1,1,0,1,0,0,0,1,0,0
chr1,7207099,7207599,.,0,0,0,0,1,1,0,0,0,1,0,0,0
chr1,7289630,7290130,.,0,0,0,0,0,0,1,0,0,0,0,0,0
chr1,7313131,7313631,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,7327622,7328122,.,0,0,0,1,1,1,1,0,0,0,0,0,0
chr1,7359305,7359805,.,0,0,0,1,0,0,1,0,0,0,0,0,0
chr1,7461856,7462356,.,1,1,0,1,0,0,1,0,0,0,0,0,0
chr1,7530909,7531409,.,0,0,0,0,0,1,1,0,0,0,0,0,0
chr1,7540277,7540777,.,0,0,0,0,0,0,1,0,0,0,0,0,0
chr1,7558416,7558916,.,0,0,0,0,0,1,0,0,0,0,0,0,0
chr1,7609253,7609753,.,1,0,0,0,0,0,1,0,0,0,0,0,0
chr1,7668864,7669364,.,0,0,0,1,1,0,0,0,0,0,0,0,0
chr1,7729389,7729889,.,0,0,0,1,1,0,0,0,0,0,0,0,0
chr1,7764466,7764966,.,1,1,0,1,1,1,1,1,0,1,1,1,0
chr1,7813491,7813991,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,7843334,7843834,.,1,1,0,1,1,1,1,1,0,0,1,0,1
chr1,7947542,7948042,.,0,0,0,1,0,0,0,0,0,0,0,0,0
chr1,8054172,8054672,.,0,0,1,0,1,0,1,1,0,0,1,0,1
chr1,8070048,8070548,.,1,1,0,0,1,0,0,1,0,0,1,0,1
chr1,8076637,8077137,.,0,0,0,0,1,0,0,1,0,0,0,1,1
chr1,8107750,8108250,.,0,0,0,0,0,0,1,0,0,0,0,0,0
chr1,8121246,8121746,.,1,1,0,0,0,0,0,1,0,0,0,0,1
chr1,8137110,8137610,.,0,0,0,0,0,0,1,1,0,0,0,1,1
chr1,8142984,8143484,.,0,0,0,0,0,1,0,0,0,0,0,0,1
chr1,8154503,8155003,.,0,0,0,0,0,0,1,1,0,0,0,0,1
chr1,8156667,8157167,.,0,0,1,0,0,0,1,1,0,0,1,0,1
chr1,8157292,8157792,.,0,0,1,0,0,0,1,1,0,0,0,0,1
chr1,8180847,8181347,.,0,1,0,0,0,0,1,1,0,0,0,0,0
chr1,8187031,8187531,.,0,0,0,0,0,0,1,0,0,0,0,0,0
chr1,8187520,8188020,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,8197984,8198484,.,0,0,0,0,0,0,1,1,0,0,0,0,1
chr1,8214656,8215156,.,0,0,0,1,0,0,0,1,0,0,0,0,0
chr1,8215588,8216088,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,8229745,8230245,.,0,1,1,0,0,0,0,1,0,1,1,0,0
chr1,8230146,8230646,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,8249876,8250376,.,0,0,0,0,0,0,1,1,0,0,0,1,0
chr1,8254547,8255047,.,0,0,0,0,0,1,1,1,0,0,1,0,1
chr1,8257655,8258155,.,1,0,0,0,0,0,1,1,0,0,0,1,1
chr1,8262109,8262609,.,1,0,0,1,0,0,1,1,0,0,0,0,0
chr1,8263768,8264268,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,8264462,8264962,.,0,0,0,0,0,0,1,0,0,0,0,0,1
chr1,8272026,8272526,.,0,0,0,0,0,0,1,1,0,0,1,0,1
chr1,8299947,8300447,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,8319146,8319646,.,0,0,0,0,0,0,0,1,0,0,0,0,1
chr1,8343112,8343612,.,0,0,1,0,0,0,0,0,0,0,1,0,0
chr1,8445713,8446213,.,0,0,1,0,0,0,0,0,0,0,0,1,0
chr1,8450583,8451083,.,0,0,1,0,1,0,0,0,0,0,0,0,0
chr1,8457056,8457556,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,8469750,8470250,.,0,0,0,0,0,0,1,0,0,0,0,0,0
chr1,8487540,8488040,.,0,1,1,1,0,1,0,1,1,0,1,0,1
chr1,8487971,8488471,.,0,0,1,0,0,0,0,0,0,0,0,1,0
chr1,8498926,8499426,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,8520763,8521263,.,0,0,0,1,0,0,0,0,0,0,0,0,0
chr1,8533707,8534207,.,0,0,1,0,1,0,0,0,0,0,0,0,0
chr1,8571486,8571986,.,0,1,0,0,0,0,1,0,0,1,1,1,1
chr1,8686494,8686994,.,0,1,1,0,0,0,1,1,0,0,0,0,0
chr1,8689836,8690336,.,0,0,0,0,1,0,0,0,0,0,0,0,0
chr1,8712608,8713108,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,8720357,8720857,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,8721645,8722145,.,0,0,1,0,0,0,0,1,0,0,1,0,0
chr1,8723982,8724482,.,0,0,1,0,1,1,0,1,0,0,0,0,0
chr1,8762177,8762677,.,1,1,0,1,1,0,1,1,0,0,0,0,1
chr1,8810119,8810619,.,0,0,1,1,0,1,1,1,0,1,1,0,0
chr1,8849211,8849711,.,0,1,1,0,1,0,0,1,0,1,1,0,0
chr1,8858226,8858726,.,0,0,1,1,1,0,1,1,1,0,0,1,0
chr1,8874859,8875359,.,0,0,1,1,0,0,1,0,0,1,0,0,0
chr1,8933596,8934096,.,1,0,1,1,0,0,1,1,1,1,0,0,1
chr1,8953177,8953677,.,0,0,1,1,0,1,0,1,1,0,0,0,1
chr1,8963894,8964394,.,0,0,0,0,0,0,1,0,0,0,0,0,0
chr1,8971266,8971766,.,0,0,0,1,1,0,0,0,0,0,0,0,0
chr1,8985790,8986290,.,0,0,0,0,0,1,1,0,0,0,0,0,0
chr1,8999638,9000138,.,0,0,0,0,0,0,1,0,0,0,0,0,1
chr1,9110840,9111340,.,0,0,1,1,1,0,0,0,1,0,0,0,0
chr1,9127234,9127734,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,9179698,9180198,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,9195439,9195939,.,0,0,0,0,0,0,0,0,0,0,0,1,0
chr1,9222822,9223322,.,0,0,1,0,0,0,1,1,0,0,0,0,1
chr1,9223589,9224089,.,0,0,1,1,0,0,0,1,0,0,0,1,0
chr1,9223898,9224398,.,0,0,1,0,0,0,0,1,0,0,0,0,0
chr1,9224886,9225386,.,0,1,1,0,1,0,0,0,0,0,0,0,0
chr1,9225494,9225994,.,0,0,1,0,1,0,0,0,0,0,0,0,0
chr1,9241111,9241611,.,0,0,1,0,0,0,1,1,0,0,0,0,0
chr1,9254062,9254562,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,9256208,9256708,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,9261428,9261928,.,0,0,0,1,0,0,0,0,0,0,0,0,0
chr1,9291569,9292069,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,9293340,9293840,.,0,0,0,0,0,0,1,1,1,0,0,0,0
chr1,9298602,9299102,.,0,1,0,0,0,1,1,0,0,0,0,0,1
chr1,9317931,9318431,.,0,0,0,1,0,0,0,0,0,0,0,0,0
chr1,9335496,9335996,.,0,0,0,1,0,0,0,0,0,0,0,0,1
chr1,9355350,9355850,.,0,0,0,1,1,0,1,0,0,1,0,0,0
chr1,9473540,9474040,.,0,0,1,0,0,0,1,0,0,1,0,0,0
chr1,9486369,9486869,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,9488903,9489403,.,1,0,1,1,1,1,1,1,1,1,1,1,1
chr1,9535055,9535555,.,0,0,1,0,0,0,1,1,0,0,0,0,0
chr1,9689029,9689529,.,0,0,1,0,0,0,0,0,1,1,0,0,0
chr1,9700456,9700956,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,9760380,9760880,.,0,0,1,0,1,0,0,0,1,0,0,0,1
chr1,9765213,9765713,.,0,0,1,0,0,0,0,0,1,0,0,0,0
chr1,9840614,9841114,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,9856634,9857134,.,0,0,1,0,0,1,0,0,0,0,0,0,0
chr1,9885404,9885904,.,0,0,0,1,0,1,1,0,0,0,0,0,0
chr1,9889458,9889958,.,0,0,0,1,0,0,0,1,0,0,0,0,1
chr1,9901856,9902356,.,0,0,0,0,0,0,0,0,0,0,0,0,1
chr1,9912418,9912918,.,0,0,0,0,0,0,1,0,0,0,0,0,0
chr1,9960334,9960834,.,0,0,0,0,0,0,0,1,1,0,0,0,0
chr1,10057781,10058281,.,0,0,0,0,1,1,0,0,0,0,0,0,0
chr1,10269744,10270244,.,1,0,0,1,0,1,1,1,0,0,0,1,0
chr1,10359098,10359598,.,0,0,0,0,0,0,1,1,0,0,1,0,0
chr1,10447996,10448496,.,0,0,0,0,0,0,1,0,0,0,0,0,1
chr1,10496727,10497227,.,1,0,0,0,0,0,0,1,0,0,0,0,1
chr1,10556114,10556614,.,0,0,1,0,0,1,0,0,0,0,0,0,0
chr1,10557097,10557597,.,0,0,1,0,0,0,0,0,0,0,0,1,0
chr1,10558146,10558646,.,0,0,0,0,0,0,1,0,0,0,1,0,0
chr1,10558847,10559347,.,0,0,0,0,0,0,0,1,0,0,1,1,1
chr1,10695244,10695744,.,0,0,0,0,0,0,0,0,0,0,0,1,0
chr1,10745629,10746129,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,10804621,10805121,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,10815887,10816387,.,0,0,0,0,0,0,1,0,0,0,0,0,0
chr1,10821455,10821955,.,0,0,0,1,0,0,0,0,0,0,0,0,0
chr1,10853917,10854417,.,0,0,0,1,0,0,0,0,0,0,0,1,0
chr1,10864497,10864997,.,0,0,0,0,0,0,1,0,0,0,0,0,0
chr1,10926703,10927203,.,0,0,0,1,0,0,0,0,0,0,0,0,0
chr1,10927058,10927558,.,0,0,1,1,1,0,0,0,0,0,0,0,0
chr1,10959813,10960313,.,0,0,0,0,0,0,1,0,0,0,0,0,0
chr1,10960247,10960747,.,0,0,0,0,0,0,1,0,0,0,0,1,0
chr1,10997324,10997824,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,11040105,11040605,.,0,0,0,1,1,0,0,1,0,0,0,0,0
chr1,11122711,11123211,.,0,1,0,0,0,1,1,1,1,0,0,0,0
chr1,11376875,11377375,.,0,0,0,1,0,0,0,0,0,0,0,0,0
chr1,11392758,11393258,.,0,0,0,0,1,0,0,0,0,0,0,0,0
chr1,11415557,11416057,.,0,0,0,1,1,0,0,1,0,0,0,0,0
chr1,11559666,11560166,.,0,0,0,1,1,0,0,1,0,1,1,0,0
chr1,11753135,11753635,.,0,1,0,0,0,0,0,0,0,0,0,0,0
chr1,11761532,11762032,.,0,0,0,0,1,0,1,0,0,0,0,0,0
chr1,11791687,11792187,.,0,0,0,1,0,0,0,0,0,1,1,0,1
chr1,11798154,11798654,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,11798736,11799236,.,0,0,0,0,0,0,0,0,1,0,0,0,0
chr1,11942909,11943409,.,0,0,0,1,0,0,0,1,0,0,1,0,0
chr1,11968770,11969270,.,0,0,1,1,1,0,1,1,0,0,1,0,1
chr1,11989854,11990354,.,0,0,1,0,0,1,0,1,0,0,1,0,0
chr1,12050629,12051129,.,0,0,1,0,0,0,1,1,0,0,0,0,1
chr1,12100496,12100996,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,12112032,12112532,.,0,0,1,0,0,0,0,0,0,0,1,0,0
chr1,12114207,12114707,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,12124512,12125012,.,0,0,1,0,1,0,0,0,1,0,0,0,0
chr1,12125880,12126380,.,0,0,1,0,0,0,0,1,0,1,0,0,0
chr1,12127772,12128272,.,0,0,1,0,1,0,0,0,0,0,0,0,0
chr1,12150444,12150944,.,0,0,0,0,1,0,0,0,0,0,0,0,0
chr1,12193000,12193500,.,0,0,1,0,0,0,1,0,0,1,0,0,0
chr1,12210438,12210938,.,0,0,0,0,0,0,0,0,1,0,0,0,0
chr1,12213192,12213692,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,12217858,12218358,.,0,0,1,0,0,0,0,1,0,0,0,0,0
chr1,12221840,12222340,.,0,0,1,0,0,1,0,0,0,0,0,0,0
chr1,12227844,12228344,.,0,0,1,0,0,0,0,0,0,0,1,0,0
chr1,12231565,12232065,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,12231945,12232445,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,12233687,12234187,.,0,0,1,1,0,0,0,0,0,0,1,0,0
chr1,12236098,12236598,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,12238111,12238611,.,0,0,1,0,0,0,0,0,0,0,1,0,0
chr1,12239070,12239570,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,12240248,12240748,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,12244136,12244636,.,0,0,0,1,0,0,0,0,0,0,0,0,0
chr1,12405805,12406305,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,12485447,12485947,.,0,0,0,0,0,0,1,1,0,1,1,0,0
chr1,12493227,12493727,.,1,0,0,1,0,0,0,0,0,0,1,0,0
chr1,12493748,12494248,.,0,0,1,0,0,1,0,0,0,0,1,0,0
chr1,12508622,12509122,.,0,0,1,0,0,0,0,0,0,0,1,0,0
chr1,12509184,12509684,.,0,0,0,0,0,1,0,0,1,0,0,0,0
chr1,12513284,12513784,.,0,0,0,0,0,0,0,0,0,0,0,0,1
chr1,12533294,12533794,.,0,0,0,0,0,0,0,0,0,0,1,0,0
chr1,12544281,12544781,.,0,0,0,0,1,0,1,0,0,0,1,0,0
chr1,12546423,12546923,.,0,0,0,1,0,0,0,0,0,0,0,1,0
chr1,12578970,12579470,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,12589334,12589834,.,1,0,0,0,1,1,0,1,0,0,1,0,0
chr1,12599777,12600277,.,0,0,1,0,0,0,1,0,0,0,0,0,0
chr1,12600386,12600886,.,0,0,0,0,0,0,0,1,0,0,0,0,0
chr1,12609656,12610156,.,0,0,0,1,0,0,1,0,0,0,1,0,0
chr1,12613932,12614432,.,1,0,0,1,0,0,0,1,0,0,1,0,0
chr1,12616461,12616961,.,0,0,0,1,0,0,0,0,0,0,0,0,0
chr1,12674433,12674933,.,1,0,1,1,1,1,1,1,0,0,1,0,1
chr1,12675528,12676028,.,0,0,1,1,0,0,0,1,0,0,0,0,1
chr1,12717557,12718057,.,0,0,0,0,0,0,0,0,0,0,1,0,0
chr1,13825053,13825553,.,0,0,0,1,0,0,0,0,0,0,0,0,0
chr1,13916978,13917478,.,0,0,1,1,1,0,0,0,0,0,0,0,0
chr1,13931633,13932133,.,0,0,0,1,0,0,0,0,0,0,0,0,0
chr1,14027731,14028231,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,14029186,14029686,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,14054613,14055113,.,0,0,1,1,0,0,0,0,0,0,0,0,0
chr1,14087323,14087823,.,0,0,0,1,1,0,0,0,0,0,0,1,1
chr1,14638310,14638810,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,14656390,14656890,.,0,0,0,0,1,0,0,0,0,1,0,0,0
chr1,14764921,14765421,.,0,0,0,1,0,0,0,0,0,0,1,0,0
chr1,14843679,14844179,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,14846979,14847479,.,0,0,1,0,0,0,0,0,0,1,0,0,0
chr1,14880162,14880662,.,0,0,0,0,0,1,0,0,0,0,0,0,0
chr1,14881484,14881984,.,0,0,1,0,0,0,0,0,0,0,0,0,0
chr1,14924018,14924518,.,0,0,1,1,1,0,0,0,0,0,0,0,0
chr1,14926306,14926806,.,0,0,1,1,0,0,0,0,0,0,0,0,0
chr1,14927077,14927577,.,0,0,0,1,0,0,0,0,0,0,0,0,0
chr1,14992235,14992735,.,1,0,0,1,1,0,0,0,0,0,0,0,0
chr1,15032195,15032695,.,0,0,0,0,1,0,0,0,0,0,0,0,0
chr1,15040889,15041389,.,0,0,0,1,0,0,0,0,0,0,0,0,1
chr1,15059397,15059897,.,0,0,1,1,1,0,0,0,0,0,0,0,0
chr1,15111144,15111644,.,0,0,0,1,1,0,0,0,0,0,1,0,0
chr1,15119578,15120078,.,0,0,0,1,1,0,0,0,0,0,0,1,0
chr1,15240157,15240657,.,0,0,0,0,0,0,0,1,0,0,0,0,0
